x,BSPEED,TSPEED,TILT
1.7607661794995386,1275.0,637.5,71.5
2.394071990740204,1400.0,700.0,71.5
2.526639959021217,1500.0,750.0,71.5
3.051155835122036,1600.0,800.0,71.5
3.7444522232709976,1600.0,800.0,66.0
4.367769624857716,1650.0,825.0,61.0
5.267900800003639,1750.0,875.0,58.0
5.759621218396734,1950.0,975.0,58.0
6.52439441172348,2000.0,1000.0,55.0
7.768601304489238,2200.0,1100.0,52.0
3.812929708942565,1636.5653522728608,818.2826761364304,66.10919481148258
1.6157911990600509,1300.0,650.0,71.5
1.724651781616232,1244.9232963816307,622.4616481908154,71.5
